Bloques,Sujeto,Tiempo,ClaveEn,Clave,Emocion,NumEmocion,Respuesta,Tiempo_Respuesta,Res_C_I
Bloque1,101,0.25,Tr28_2,Tr28,Tristeza,3,Afirmacion,0.45028469,2
Bloque1,101,2.5,En75_12,En75,Enojo,2,Afirmacion,1.766490698,2
Bloque1,101,0.25,Al78_11,Al78,Alegria,1,Afirmacion,0.766599178,1
Bloque1,101,0.25,Al78_8,Al78,Alegria,1,Afirmacion,1.516690373,1
Bloque1,101,0.25,En28_6,En28,Enojo,2,Afirmacion,0.750228167,2
Bloque1,101,0.25,Al19_14,Al19,Alegria,1,Afirmacion,0.500406742,1
Bloque1,101,2.5,En78_1,En78,Enojo,2,Afirmacion,1.416957617,2
Bloque1,101,2.5,Al78_15,Al78,Alegria,1,Afirmacion,0.96689111,1
Bloque1,101,0.25,Al75_14,Al75,Alegria,1,Afirmacion,0.600252867,1
Bloque1,101,2.5,Al75_2,Al75,Alegria,1,Afirmacion,0.500247419,1
Bloque1,101,0.25,En75_12,En75,Enojo,2,Afirmacion,0.550307512,2
Bloque1,101,2.5,Tr78_8,Tr78,Tristeza,3,Afirmacion,0.80041045,2
Bloque1,101,0.25,Tr78_15,Tr78,Tristeza,3,Afirmacion,0.800085604,2
Bloque1,101,0.25,Tr78_5,Tr78,Tristeza,3,Afirmacion,0.600264013,2
Bloque1,101,2.5,Al19_5,Al19,Alegria,1,Afirmacion,0.86658895,1
Bloque1,101,2.5,Tr75_10,Tr75,Tristeza,3,Afirmacion,0.716620326,2
Bloque1,101,2.5,Tr75_4,Tr75,Tristeza,3,Afirmacion,0.45043999,2
Bloque1,101,0.25,Tr28_5,Tr28,Tristeza,3,Afirmacion,0.483683616,2
Bloque1,101,0.25,En75_11,En75,Enojo,2,Afirmacion,2.449910641,2
Bloque1,101,0.25,Al75_6,Al75,Alegria,1,Afirmacion,0.700121701,1
Bloque1,101,0.25,En78_1,En78,Enojo,2,Afirmacion,0.450282007,2
Bloque1,101,2.5,Tr19_4,Tr19,Tristeza,3,Afirmacion,0.333764106,2
Bloque1,101,0.25,Tr28_11,Tr28,Tristeza,3,Afirmacion,0.450353861,2
Bloque1,101,0.25,Al19_7,Al19,Alegria,1,Afirmacion,0.500329971,1
Bloque1,101,0.25,En28_1,En28,Enojo,2,Afirmacion,0.483690321,2
Bloque1,101,0.25,Tr19_6,Tr19,Tristeza,3,Afirmacion,0.533645511,2
Bloque1,101,0.25,Tr78_7,Tr78,Tristeza,3,Afirmacion,0.450422138,2
Bloque1,101,2.5,Tr19_15,Tr19,Tristeza,3,Afirmacion,0.40023759,2
Bloque1,101,2.5,Al28_4,Al28,Alegria,1,Afirmacion,0.400324166,1
Bloque1,101,2.5,Tr78_5,Tr78,Tristeza,3,Afirmacion,0.38358897,2
Bloque1,101,2.5,Tr28_12,Tr28,Tristeza,3,Afirmacion,0.400219738,2
Bloque1,101,0.25,Al28_2,Al28,Alegria,1,Afirmacion,0.450672477,1
Bloque1,101,0.25,En19_8,En19,Enojo,2,Afirmacion,0.450301647,2
