Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque1.keys_raw,Resp_Bloque1.rt_mean,Resp_Bloque1.rt_raw,Resp_Bloque1.rt_std,Sig_B1.keys_raw,Sig_B1.rt_mean,Sig_B1.rt_raw,Sig_B1.rt_std,order
0.25,Stim\\03_028.jpg,Tr28_2,Tristeza,2,Jonathan pasea al perro.,Afirmación,Tr28,28,1.0,'4',0.950187206268,0.9501872062683105,0.0,'1',3.15565371513,3.155653715133667,0.0,0.0
2.5,Stim\\05_075.jpg,En75_12,Enojo,12,Ana compra el libro.,Afirmación,En75,75,1.0,'2',1.41673672199,1.4167367219924927,0.0,'1',1.81084322929,1.8108432292938232,0.0,1.0
0.25,Stim\\02_078.jpg,Al78_11,Alegría,11,María asiste a la cena.,Afirmación,Al78,78,1.0,'3',0.900168180466,0.9001681804656982,0.0,'1',1.32531893253,1.3253189325332642,0.0,2.0
0.25,Stim\\02_078.jpg,Al78_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al78,78,1.0,'3',1.53323543072,1.5332354307174683,0.0,'1',1.73394989967,1.733949899673462,0.0,3.0
0.25,Stim\\05_028.jpg,En28_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En28,28,1.0,'2',2.8995411396,2.899541139602661,0.0,'1',1.68499839306,1.6849983930587769,0.0,4.0
0.25,Stim\\02_019.jpg,Al19_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al19,19,1.0,'3',5.61549520493,5.615495204925537,0.0,'1',2.39929056168,2.3992905616760254,0.0,5.0
2.5,Stim\\05_078.jpg,En78_1,Enojo,1,Juan colecciona monedas antiguas.,Afirmación,En78,78,1.0,'2',8.39757442474,8.397574424743652,0.0,'1',3.95200157166,3.9520015716552734,0.0,6.0
2.5,Stim\\02_078.jpg,Al78_15,Alegría,15,Ángel envía una carta a la abuela.,Afirmación,Al78,78,1.0,'3',3.53273057938,3.5327305793762207,0.0,'1',1.9652261734,1.965226173400879,0.0,7.0
0.25,Stim\\02_075.jpg,Al75_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al75,75,1.0,'3',1.83313953876,1.8331395387649536,0.0,'1',2.99590444565,2.9959044456481934,0.0,8.0
2.5,Stim\\02_075.jpg,Al75_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al75,75,1.0,'3',2.6994638443,2.6994638442993164,0.0,'1',2.82355117798,2.8235511779785156,0.0,9.0
0.25,Stim\\05_075.jpg,En75_12,Enojo,12,Ana compra el libro.,Afirmación,En75,75,1.0,'4',1.26673018932,1.2667301893234253,0.0,'1',2.30381059647,2.3038105964660645,0.0,10.0
2.5,Stim\\03_078.jpg,Tr78_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr78,78,1.0,'4',3.06622457504,3.0662245750427246,0.0,'1',3.5849647522,3.5849647521972656,0.0,11.0
0.25,Stim\\03_078.jpg,Tr78_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr78,78,1.0,'4',1.46659505367,1.4665950536727905,0.0,'1',2.16836428642,2.1683642864227295,0.0,12.0
0.25,Stim\\03_078.jpg,Tr78_5,Tristeza,5,Emilio revisa el formato del archivo.,Afirmación,Tr78,78,1.0,'4',2.49958348274,2.4995834827423096,0.0,'1',4.91393947601,4.913939476013184,0.0,13.0
2.5,Stim\\02_019.jpg,Al19_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al19,19,1.0,'3',1.51674830914,1.516748309135437,0.0,'1',1.64985239506,1.6498523950576782,0.0,14.0
2.5,Stim\\03_075.jpg,Tr75_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr75,75,1.0,'4',5.51525640488,5.515256404876709,0.0,'1',1.95657610893,1.9565761089324951,0.0,15.0
