Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
2.5,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,,,,,0,0,0,0,,,,,,,,,1,3.76192216555,3,2.49960194742,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
2.5,Stim\\05_019.jpg,En19_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En19,19,,,,,0,1,1,1,,,,,,,,,1,4.61348113043,4,2.79960507115,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
0.25,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,,,,,0,2,2,2,,,,,,,,,1,5.83087138707,3,2.94954237341,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
2.5,Stim\\02_075.jpg,Al75_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,4.35582865889,3,2.99950957424,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
0.25,Stim\\05_075.jpg,En75_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En75,75,,,,,0,4,4,4,,,,,,,,,1,3.63027386196,2,4.94907158253,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
2.5,Stim\\02_019.jpg,Al19_29,Alegría,29,Miriam mira la película.,Afirmación,Al19,19,,,,,0,5,5,5,,,,,,,,,1,2.15805230911,3,1.7831782624,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
2.5,Stim\\02_078.jpg,Al78_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al78,78,,,,,0,6,6,6,,,,,,,,,1,2.44077495303,3,3.83260104154,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
0.25,Stim\\05_028.jpg,En28_20,Enojo,20,Karen analiza la idea.,Afirmación,En28,28,,,,,0,7,7,7,,,,,,,,,1,4.30573606258,4,0.900364584031,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
0.25,Stim\\03_078.jpg,Tr78_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr78,78,,,,,0,8,8,8,,,,,,,,,1,3.72801406571,2,2.79963496972,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
0.25,Stim\\02_019.jpg,Al19_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al19,19,,,,,0,9,9,9,,,,,,,,,1,3.88181765444,3,3.7824892566,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
2.5,Stim\\02_019.jpg,Al19_19,Alegría,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Al19,19,,,,,0,10,10,10,,,,,,,,,1,5.01447715437,3,0.550370608369,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
0.25,Stim\\02_028.jpg,Al28_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al28,28,,,,,0,11,11,11,,,,,,,,,1,5.01403224583,3,1.11681370515,,,,,,,,,2018_may._30_1303,60.0392239866,Experimento Piloto1,001,130,
