Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',1.21647119522,1.2164711952209473,0.0,'1',3.51644682884,3.516446828842163,0.0,0.0
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'2',1.01692843437,1.0169284343719482,0.0,'1',0.747846841812,0.7478468418121338,0.0,1.0
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,1.0,'3',0.500427484512,0.5004274845123291,0.0,'1',3.0712044239,3.071204423904419,0.0,2.0
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,1.0,'3',2.44957399368,2.4495739936828613,0.0,'1',3.11481881142,3.114818811416626,0.0,3.0
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,1.0,'3',0.800004184246,0.8000041842460632,0.0,'1',2.49725556374,2.497255563735962,0.0,4.0
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',2.08310317993,2.0831031799316406,0.0,'1',1.63384330273,1.6338433027267456,0.0,5.0
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,1.0,'3',0.650354862213,0.6503548622131348,0.0,'1',0.765560626984,0.7655606269836426,0.0,6.0
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',1.26679360867,1.2667936086654663,0.0,'1',1.21496605873,1.214966058731079,0.0,7.0
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',0.600381016731,0.6003810167312622,0.0,'1',1.26242220402,1.2624222040176392,0.0,8.0
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,1.0,'3',0.650365114212,0.6503651142120361,0.0,'1',2.08047747612,2.080477476119995,0.0,9.0
0.25,Stim\\05_075.jpg,En75_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En75,75,1.0,'2',1.31678128242,1.3167812824249268,0.0,'1',2.00164937973,2.0016493797302246,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al28,28,1.0,'3',0.550290703773,0.5502907037734985,0.0,'1',2.23424077034,2.234240770339966,0.0,11.0
2.5,Stim\\03_075.jpg,Tr75_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr75,75,1.0,'4',1.68361008167,1.6836100816726685,0.0,'1',1.63017737865,1.63017737865448,0.0,12.0
0.25,Stim\\05_075.jpg,En75_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En75,75,1.0,'2',1.61694073677,1.6169407367706299,0.0,'1',2.29890203476,2.2989020347595215,0.0,13.0
2.5,Stim\\02_078.jpg,Al78_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al78,78,1.0,'3',0.700309514999,0.7003095149993896,0.0,'1',1.43771016598,1.437710165977478,0.0,14.0
2.5,Stim\\02_028.jpg,Al28_18,Alegría,18,Sofía escucha la música.,Afirmación,Al28,28,1.0,'3',0.700145721436,0.7001457214355469,0.0,'1',1.52462208271,1.5246220827102661,0.0,15.0
