AH,Exigencia,Ruego,Afirmación,Ninguno,Significance
Coleccionar / To collect,12,0,60,25,TRUE
Pasear / To take walk,20,5,70,5,TRUE
Diseñar / To design,5,5,60,30,TRUE
Sustituir / To replace,40,0,35,25,FALSE
Revisar / To review,55,10,30,5,FALSE
Caminar / To walk,0,5,70,25,TRUE
Contestar / To answer,35,25,35,5,FALSE
Despertar / To wake,20,5,65,10,TRUE
Colaborar / To help,5,25,50,20,TRUE
Finalizar / To complete,45,0,40,15,TRUE
Asistir / To attend,15,20,60,5,TRUE
Comprar / To buy,0,10,65,25,TRUE
Consumir / To eat,10,5,50,35,TRUE
Elegir / To choose,35,10,50,5,TRUE
Enviar / To send,25,15,40,20,FALSE
Modificar / To edit,35,10,40,15,FALSE
Subir / To take,30,15,35,20,FALSE
Escuchar / To listen,15,20,50,15,FALSE
Acompañar / To accompany,20,25,30,25,FALSE
Analizar / To analyze,25,0,60,15,TRUE
Anunciar / To announce,10,5,65,20,TRUE
Correr / To run,5,0,65,30,TRUE
Conseguir / To get,15,0,65,20,TRUE
Comentar / To discuss,5,0,60,35,TRUE
Decidir / To decide,25,15,40,20,FALSE
Traer / To bring,20,20,40,20,FALSE
Informar / To report,15,0,55,30,TRUE
Responder / To reply,25,0,35,40,TRUE
Mirar / To watch,10,5,45,40,TRUE
Tomar / To drink,10,10,35,45,FALSE
